doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s10570-018-1902-4	Chalmers University of Technology	Cellulose	Chemistry	0969-0239	1572-882X	2018
10.1007/s00466-018-1588-3	Chalmers University of Technology	Computational Mechanics	Engineering	0178-7675	1432-0924	2018
10.1007/s11356-018-2358-7	Örebro University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018
10.1007/s00423-018-1684-z	Örebro University	Langenbeck's Archives of Surgery	Medicine & Public Health	1435-2443	1435-2451	2018
10.1007/s11356-018-2448-6	Stockholm University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018
10.1007/s00415-018-8921-9	Lund University	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2018
10.1007/s11249-018-1048-4	Uppsala University	Tribology Letters	Materials Science	1023-8883	1573-2711	2018
10.1007/s11661-018-4767-0	University West	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018
10.1007/s11695-018-3307-8	Uppsala University	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2018
10.1007/s12028-018-0558-0	University of Gothenburg	Neurocritical Care	Medicine & Public Health	1541-6933	1556-0961	2018
10.1007/s41063-018-0055-x	Stockholm University	arktos	Earth Sciences	2364-9453	2364-9461	2018
10.1007/s10993-018-9478-2	Lund University	Language Policy	Linguistics	1568-4555	1573-1863	2018
10.1007/s10653-018-0132-x	Swedish University of Agricultural Sciences	Environmental Geochemistry and Health	Environment	0269-4042	1573-2983	2018
10.1007/s10212-018-0390-0	Lund University	European Journal of Psychology of Education	Education	0256-2928	1878-5174	2018
10.1007/s10570-018-1898-9	Lund University	Cellulose	Chemistry	0969-0239	1572-882X	2018
10.1007/s12152-018-9372-9	Uppsala University	Neuroethics	Philosophy	1874-5490	1874-5504	2018
10.1007/s40869-018-0062-y	University of Skövde	The Computer Games Journal	Computer Science		2052-773X	2018
10.1007/s10096-018-3311-x	Lund University	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018
10.1007/s00442-018-4183-6	Umea University	Oecologia	Life Sciences	0029-8549	1432-1939	2018
10.1007/s11367-018-1491-3	Chalmers University of Technology	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2018
10.1007/s00330-018-5582-0	Lund University	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018
10.1007/s10111-018-0499-6	Swedish Defence Research Agency	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2018
10.1007/s00198-018-4593-7	Lund University	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2018
10.1007/s10853-018-2521-z	University of Boras	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018
10.1007/s00607-018-0631-8	University of Skövde	Computing	Computer Science	0010-485X	1436-5057	2018
10.1007/s11625-018-0584-z	Halmstad University	Sustainability Science	Environment	1862-4065	1862-4057	2018
10.1007/s10993-018-9472-8	Royal Institute of Technology	Language Policy	Linguistics	1568-4555	1573-1863	2018
10.1007/s10570-018-1875-3	Chalmers University of Technology	Cellulose	Chemistry	0969-0239	1572-882X	2018
10.1007/s00466-018-1584-7	Chalmers University of Technology	Computational Mechanics	Engineering	0178-7675	1432-0924	2018
10.1007/s10404-018-2094-9	Lund University	Microfluidics and Nanofluidics	Engineering	1613-4982	1613-4990	2018
10.1007/s00265-018-2529-z	Lund University	Behavioral Ecology and Sociobiology	Life Sciences	0340-5443	1432-0762	2018
10.1007/s00216-018-1173-9	Stockholm University	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2018
10.1007/s00231-018-2396-1	Lulea University of Technology	Heat and Mass Transfer	Engineering	0947-7411	1432-1181	2018
10.1007/s12076-018-0215-4	Chalmers University of Technology	Letters in Spatial and Resource Sciences	Economics	1864-4031	1864-404X	2018
10.1007/s00209-018-2087-0	Chalmers University of Technology	Mathematische Zeitschrift	Mathematics	0025-5874	1432-1823	2018
10.1007/s00228-018-2497-2	Uppsala University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s11538-018-0454-y	Uppsala University	Bulletin of Mathematical Biology	Mathematics	0092-8240	1522-9602	2018
10.1007/s11947-018-2138-x	Chalmers University of Technology	Food and Bioprocess Technology	Chemistry	1935-5130	1935-5149	2018
10.1007/s10578-018-0826-4	Uppsala University	Child Psychiatry & Human Development	Psychology	0009-398X	1573-3327	2018
10.1007/s10957-018-1328-z	Lund University	Journal of Optimization Theory and Applications	Mathematics	0022-3239	1573-2878	2018
10.1007/s11244-018-1011-5	Uppsala University	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2018
10.1007/s10943-018-0646-7	University of Gävle	Journal of Religion and Health	Medicine & Public Health	0022-4197	1573-6571	2018
10.1007/s00268-018-4673-z	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018
10.1007/s12053-018-9669-x	Lund University	Energy Efficiency	Engineering	1570-646X	1570-6478	2018
10.1007/s10817-018-9469-1	University of Gothenburg	Journal of Automated Reasoning	Computer Science	0168-7433	1573-0670	2018
10.1007/s00281-018-0688-7	Karolinska Institute	Seminars in Immunopathology	Biomedicine	1863-2297	1863-2300	2018
10.1007/s00228-018-2507-4	Karolinska Institute	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s10096-018-3298-3	University of Gothenburg	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018
10.1007/s00162-018-0469-x	Royal Institute of Technology	Theoretical and Computational Fluid Dynamics	Engineering	0935-4964	1432-2250	2018
10.1007/s00228-018-2508-3	University of Gothenburg	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s00204-018-2239-3	Karolinska Institute	Archives of Toxicology	Biomedicine	0340-5761	1432-0738	2018
10.1007/s00787-018-1185-1	Uppsala University	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018
10.1007/s11249-018-1023-0	Lulea University of Technology	Tribology Letters	Materials Science	1023-8883	1573-2711	2018
10.1007/s11669-018-0641-4	Royal Institute of Technology	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018
10.1007/s10470-018-1259-5	Linköping University	Analog Integrated Circuits and Signal Processing	Engineering	0925-1030	1573-1979	2018
10.1007/s12350-018-1338-0	Uppsala University	Journal of Nuclear Cardiology	Medicine & Public Health	1071-3581	1532-6551	2018
10.1007/s10955-018-2071-4	Stockholm University	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2018
10.1007/s00702-018-1892-2	Uppsala University	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2018
10.1007/s13324-018-0239-3	Royal Institute of Technology	Analysis and Mathematical Physics	Mathematics	1664-2368	1664-235X	2018
10.1007/s10817-018-9472-6	University of Gothenburg	Journal of Automated Reasoning	Computer Science	0168-7433	1573-0670	2018
10.1007/s10677-018-9897-3	University of Gothenburg	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2018
10.1007/s00769-018-1319-7	Lund University	Accreditation and Quality Assurance	Chemistry	0949-1775	1432-0517	2018
10.1007/s11356-018-2629-3	Lund University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018
10.1007/s12553-018-0239-1	Jönköping University	Health and Technology	Engineering	2190-7188	2190-7196	2018
10.1007/s10096-018-3306-7	Karolinska Institute	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018
10.1007/s00410-018-1482-1	Swedish Museum of Natural History	Contributions to Mineralogy and Petrology	Earth Sciences	0010-7999	1432-0967	2018
10.1007/s00167-018-5010-7	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s00213-018-4953-1	Linköping University	Psychopharmacology	Biomedicine	0033-3158	1432-2072	2018
10.1007/s10287-018-0319-8	Linköping University	Computational Management Science	Business and Management	1619-697X	1619-6988	2018
10.1007/s11669-018-0648-x	Royal Institute of Technology	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018
10.3758/s13415-018-0610-8	Karolinska Institute	"Cognitive, Affective, & Behavioral Neuroscience"	Psychology	1530-7026	1531-135X	2018
10.1007/s00223-018-0446-9	Uppsala University	Calcified Tissue International	Life Sciences	0171-967X	1432-0827	2018
10.1007/s10728-018-0359-9	Linköping University	Health Care Analysis	Medicine & Public Health	1065-3058	1573-3394	2018
10.1007/s10823-018-9351-y	Mälardalen University	Journal of Cross-Cultural Gerontology	Social Sciences	0169-3816	1573-0719	2018
10.1007/s10851-018-0826-9	Royal Institute of Technology	Journal of Mathematical Imaging and Vision	Computer Science	0924-9907	1573-7683	2018
10.1007/s10163-018-0751-4	Chalmers University of Technology	Journal of Material Cycles and Waste Management	Engineering	1438-4957	1611-8227	2018
10.1007/s00005-018-0516-8	Halmstad University	Archivum Immunologiae et Therapiae Experimentalis	Biomedicine	0004-069X	1661-4917	2018
10.1208/s12248-018-0239-0	Uppsala University	The AAPS Journal	Biomedicine		1550-7416	2018
10.1007/s11357-018-0029-8	Karolinska Institute	GeroScience	Life Sciences	2509-2715	2509-2723	2018
10.1007/s10750-018-3672-2	Uppsala University	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2018
10.1007/s42081-018-0015-5	Linköping University	Japanese Journal of Statistics and Data Science	Statistics	2520-8756	2520-8764	2018
10.1007/s10676-018-9459-3	Royal Institute of Technology	Ethics and Information Technology	Computer Science	1388-1957	1572-8439	2018
10.1007/s10531-018-1583-1	Swedish University of Agricultural Sciences	Biodiversity and Conservation	Life Sciences	0960-3115	1572-9710	2018
10.1007/s12369-018-0486-3	Swedish University of Agricultural Sciences	International Journal of Social Robotics	Engineering	1875-4791	1875-4805	2018
10.1007/s11186-018-9318-6	University of Gothenburg	Theory and Society	Social Sciences	0304-2421	1573-7853	2018
10.1007/s00167-018-5029-9	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s11858-018-0962-0	University of Gothenburg	ZDM	Education	1863-9690	1863-9704	2018
10.1007/s00784-018-2501-3	Malmö University	Clinical Oral Investigations	Dentistry	1432-6981	1436-3771	2018
10.1007/s00345-018-2375-7	Karolinska Institute	World Journal of Urology	Medicine & Public Health	0724-4983	1433-8726	2018
10.1007/s10111-018-0497-8	Lulea University of Technology	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2018
10.1007/s10856-018-6108-7	University of Gothenburg	Journal of Materials Science: Materials in Medicine	Materials Science	0957-4530	1573-4838	2018
10.1007/s11150-018-9420-6	Linnaeus University	Review of Economics of the Household	Economics	1569-5239	1573-7152	2018
10.1007/s10694-018-0743-x	Karlstad University	Fire Technology	Engineering	0015-2684	1572-8099	2018
10.1007/s10843-018-0235-6	Linköping University	Journal of International Entrepreneurship	Business and Management	1570-7385	1573-7349	2018
10.1007/s11695-018-3348-z	Karolinska Institute	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2018
10.1007/s11625-018-0586-x	Stockholm University	Sustainability Science	Environment	1862-4065	1862-4057	2018
10.1007/s11854-018-0029-8	Linköping University	Journal d'Analyse Mathématique	Mathematics	0021-7670	1565-8538	2018
10.1140/epjb/e2018-90166-9	Royal Institute of Technology	The European Physical Journal B	Physics	1434-6028	1434-6036	2018
10.1140/epja/i2018-12533-3	Uppsala University	The European Physical Journal A	Physics	1434-6001	1434-601X	2018
10.1007/s11432-017-9332-6	Linköping University	Science China Information Sciences	Computer Science	1674--733X	1869--1919	2018
10.1007/s10551-018-3969-0	Royal Institute of Technology	Journal of Business Ethics	Philosophy	0167-4544	1573-0697	2018
10.1007/s10705-018-9935-5	Swedish University of Agricultural Sciences	Nutrient Cycling in Agroecosystems	Life Sciences	1385-1314	1573-0867	2018
10.1007/s10838-018-9423-2	Uppsala University	Journal for General Philosophy of Science	Philosophy	0925-4560	1572-8587	2018
10.1007/s00167-018-5059-3	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s00228-018-2514-5	Umea University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s00265-018-2534-2	Lund University	Behavioral Ecology and Sociobiology	Life Sciences	0340-5443	1432-0762	2018
10.1007/s13563-018-0158-7	Halmstad University	Mineral Economics	Economics	2191-2203	2191-2211	2018
10.1007/s10803-018-3697-4	University of Gothenburg	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2018
10.1007/s11661-018-4819-5	Royal Institute of Technology	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018
10.1007/s11102-018-0902-6	Lund University	Pituitary	Medicine & Public Health	1386-341X	1573-7403	2018
10.1007/s10943-018-0670-7	University of Gothenburg	Journal of Religion and Health	Medicine & Public Health	0022-4197	1573-6571	2018
10.1007/s11266-018-0016-9	Södertörn University	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2018
10.1007/s10072-018-3507-y	Karolinska Institute	Neurological Sciences	Medicine & Public Health	1590-1874	1590-3478	2018
10.1007/s10910-018-0932-3	Karolinska Institute	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2018
10.1007/s00020-018-2472-4	University of Gothenburg	Integral Equations and Operator Theory	Mathematics	0378-620X	1420-8989	2018
10.1007/s11098-018-1139-y	Umea University	Philosophical Studies	Philosophy	0031-8116	1573-0883	2018
10.1007/s11251-018-9469-x	Linköping University	Instructional Science	Education	0020-4277	1573-1952	2018
10.1007/s10670-018-0048-y	Uppsala University	Erkenntnis	Philosophy	0165-0106	1572-8420	2018
10.1007/s10730-018-9356-5	Royal Institute of Technology	HEC Forum	Philosophy	0956-2737	1572-8498	2018
10.1007/s10708-018-9906-z	Linnaeus University	GeoJournal	Social Sciences	0343-2521	1572-9893	2018
10.1007/s10817-018-9474-4	University of Gothenburg	Journal of Automated Reasoning	Computer Science	0168-7433	1573-0670	2018
10.1007/s40194-018-0626-2	Chalmers University of Technology	Welding in the World	Materials Science	0043-2288	1878-6669	2018
10.1007/s00784-018-2533-8	Kristianstad University	Clinical Oral Investigations	Dentistry	1432-6981	1436-3771	2018
10.1007/s12022-018-9539-2	Karolinska Institute	Endocrine Pathology	Medicine & Public Health	1046-3976	1559-0097	2018
10.1007/s12020-018-1665-6	Örebro University	Endocrine	Medicine & Public Health	1355-008X	1559-0100	2018
10.1007/s11127-018-0591-8	Stockholm University	Public Choice	Economics	0048-5829	1573-7101	2018
10.1007/s11244-018-1017-z	Chalmers University of Technology	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2018
10.1007/s11669-018-0656-x	Royal Institute of Technology	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018
10.1007/s10515-018-0238-5	Lund University	Automated Software Engineering	Computer Science	0928-8910	1573-7535	2018
10.1007/s11627-018-9911-4	Swedish University of Agricultural Sciences	In Vitro Cellular & Developmental Biology - Plant	Life Sciences	1054-5476	1475-2689	2018
10.1007/s40520-018-1004-z	Karolinska Institute	Aging Clinical and Experimental Research	Medicine & Public Health		1720-8319	2018
10.1007/s40471-018-0159-7	Karolinska Institute	Current Epidemiology Reports	Medicine & Public Health		2196-2995	2018
10.1007/s10973-018-7564-5	Royal Institute of Technology	Journal of Thermal Analysis and Calorimetry	Chemistry	1388-6150	1588-2926	2018
